Index,11 Item Level,17 Type
100,6,1
101,9,1
102,11,1
103,14,1
104,14,1
105,16,1
106,19,1
107,24,1
108,24,1
109,25,1
110,26,1
111,29,1
112,31,1
113,34,1
114,34,1
115,35,1
116,36,1
117,38,1
118,42,1
119,45,1
120,46,1
121,48,1
122,48,1
123,49,1
124,6,13
125,9,13
126,13,13
127,19,13
128,23,13
129,26,13
130,29,13
131,33,13
132,39,13
133,42,13
134,46,13
135,47,13
136,47,13
137,49,13
138,50,13
139,6,13
140,10,13
141,20,13
142,21,13
143,26,13
144,30,13
145,35,13
146,36,13
147,38,13
148,42,13
149,42,13
150,46,13
151,48,13
152,6,13
153,9,13
154,14,13
155,16,13
156,26,13
157,28,13
158,29,13
159,32,13
160,36,13
161,38,13
162,39,13
163,42,13
164,48,13
165,50,13
166,6,13
167,8,13
168,11,13
169,14,13
170,18,13
171,21,13
172,22,13
173,24,13
174,28,13
175,31,13
176,32,13
177,34,13
178,38,13
179,42,13
180,43,13
181,47,13
182,7,1
183,12,1
184,17,1
185,17,1
186,17,1
187,17,1
188,17,1
189,17,1
190,22,1
191,27,1
192,32,1
193,32,1
194,32,1
195,32,1
196,32,1
197,32,1
198,37,1
199,42,1
200,47,1
201,47,1
202,47,1
203,47,1
204,47,1
205,47,1
206,6,13
207,11,13
208,18,13
209,21,13
210,23,13
211,25,13
212,31,13
213,35,13
214,38,13
215,38,13
216,41,13
217,43,13
218,48,13
219,6,1
220,11,1
221,17,1
222,21,1
223,23,1
224,31,1
225,37,1
226,41,1
227,43,1
228,43,1
229,43,1
230,43,1
231,43,1
232,43,1
233,5,13
234,15,13
235,25,13
236,35,13
237,5,2
238,9,2
239,11,2
240,13,2
241,15,2
242,17,2
243,19,2
244,21,2
245,23,2
246,28,2
247,29,2
248,31,2
249,32,2
250,33,2
251,34,2
252,38,2
253,39,2
254,41,2
255,44,2
256,47,2
257,48,2
258,49,2
259,7,1
260,12,1
261,17,1
262,22,1
263,32,1
264,37,1
265,42,1
266,10,2
267,27,2
268,47,2
269,7,1
270,12,1
271,17,1
272,22,1
273,32,1
274,42,1
275,47,1
276,10,2
277,27,2
278,37,2
279,7,1
280,12,1
281,17,1
282,22,1
283,32,1
284,42,1
285,47,1
286,10,2
287,27,2
288,37,2
289,7,1
290,12,1
291,17,1
292,22,1
293,32,1
294,42,1
295,47,1
296,10,2
297,27,2
298,37,2
299,7,1
300,12,1
301,17,1
302,22,1
303,32,1
304,42,1
305,47,1
306,10,2
307,27,2
308,37,2
309,7,1
310,12,1
311,22,1
312,32,1
313,37,1
314,42,1
315,10,2
316,17,2
317,27,2
318,47,2
319,7,1
320,12,1
321,17,1
322,22,1
323,32,1
324,42,1
325,47,1
326,10,2
327,27,2
328,37,2
329,7,1
330,12,1
331,17,1
332,22,1
333,32,1
334,37,1
335,42,1
336,10,2
337,27,2
338,47,2
339,7,1
340,12,1
341,17,1
342,22,1
343,32,1
344,37,1
345,42,1
346,10,2
347,27,2
348,47,2
349,7,1
350,12,1
351,17,1
352,22,1
353,32,1
354,37,1
355,42,1
356,10,2
357,27,2
358,47,2
359,7,1
360,12,1
361,17,1
362,22,1
363,32,1
364,42,1
365,47,1
366,1,3
367,1,3
368,1,3
369,1,3
370,1,3
371,1,3
372,1,3
373,1,3
374,1,3
375,1,3
376,1,3
377,2,3
378,2,3
379,2,3
380,2,3
381,3,3
382,3,3
383,3,3
384,3,3
385,4,3
386,4,3
387,4,3
388,4,3
389,6,3
390,6,3
391,6,3
392,6,3
393,7,3
394,7,3
395,8,3
396,8,3
397,8,3
398,8,3
399,8,3
400,8,3
401,8,3
402,9,3
403,9,3
404,9,3
405,9,3
406,10,3
407,10,3
408,10,3
409,11,3
410,11,3
411,11,3
412,11,3
413,11,3
414,11,3
415,11,3
416,11,3
417,12,3
418,12,3
419,12,3
420,12,3
421,12,3
422,12,3
423,12,3
424,12,3
425,12,3
426,12,3
427,12,3
428,13,3
429,13,3
430,13,3
431,13,3
432,13,3
433,13,3
434,14,3
435,14,3
436,14,3
437,14,3
438,14,3
439,15,3
440,15,3
441,15,3
442,15,3
443,16,3
444,17,3
445,17,3
446,18,3
447,18,3
448,18,3
449,18,3
450,18,3
451,18,3
452,18,3
453,19,3
454,19,3
455,19,3
456,19,3
457,19,3
458,19,3
459,19,3
460,19,3
461,20,3
462,20,3
463,20,3
464,21,3
465,21,3
466,21,3
467,21,3
468,21,3
469,21,3
470,21,3
471,22,3
472,22,3
473,22,3
474,22,3
475,22,3
476,22,3
477,22,3
478,22,3
479,22,3
480,22,3
481,22,3
482,23,3
483,24,3
484,24,3
485,24,3
486,24,3
487,24,3
488,25,3
489,25,3
490,25,3
491,26,3
492,26,3
493,26,3
494,26,3
495,26,3
496,26,3
497,27,3
498,27,3
499,27,3
500,27,3
501,27,3
502,27,3
503,27,3
504,28,3
505,28,3
506,28,3
507,28,3
508,29,3
509,29,3
510,29,3
511,29,3
512,29,3
513,29,3
514,29,3
515,29,3
516,29,3
517,29,3
518,30,3
519,30,3
520,30,3
521,30,3
522,30,3
523,31,3
524,31,3
525,31,3
526,31,3
527,31,3
528,31,3
529,31,3
530,32,3
531,32,3
532,32,3
533,32,3
534,32,3
535,32,3
536,33,3
537,33,3
538,33,3
539,33,3
540,33,3
541,33,3
542,34,3
543,34,3
544,34,3
545,34,3
546,34,3
547,35,3
548,35,3
549,35,3
550,36,3
551,36,3
552,36,3
553,36,3
554,36,3
555,36,3
556,37,3
557,37,3
558,38,3
559,38,3
560,38,3
561,38,3
562,38,3
563,38,3
564,39,3
565,39,3
566,39,3
567,39,3
568,39,3
569,39,3
570,39,3
571,39,3
572,39,3
573,39,3
574,39,3
575,40,3
576,40,3
577,40,3
578,40,3
579,40,3
580,40,3
581,40,3
582,40,3
583,42,3
584,42,3
585,42,3
586,42,3
587,42,3
588,42,3
589,42,3
590,43,3
591,43,3
592,43,3
593,43,3
594,43,3
595,43,3
596,45,3
597,47,3
598,47,3
599,47,3
600,47,3
601,47,3
602,47,3
603,47,3
604,47,3
605,47,3
606,47,3
607,47,3
608,48,3
609,48,3
610,48,3
611,50,3
612,50,3
613,50,3
614,50,3
615,50,3
616,1,4
617,1,4
618,1,4
619,1,4
620,1,4
621,1,4
622,1,4
623,1,4
624,1,4
625,1,4
626,1,4
627,1,4
628,1,4
629,1,4
630,1,4
631,1,4
632,1,4
633,1,4
634,1,4
635,1,4
636,1,4
637,1,4
638,1,4
639,1,4
640,1,4
641,4,4
642,4,4
643,4,4
644,4,4
645,4,4
646,4,4
647,4,4
648,4,4
649,5,4
650,5,4
651,5,4
652,5,4
653,6,4
654,6,4
655,6,4
656,6,4
657,6,4
658,6,4
659,6,4
660,6,4
661,7,4
662,7,4
663,7,4
664,7,4
665,8,4
666,8,4
667,8,4
668,8,4
669,9,4
670,9,4
671,9,4
672,9,4
673,9,4
674,9,4
675,11,4
676,11,4
677,11,4
678,11,4
679,11,4
680,11,4
681,11,4
682,11,4
683,11,4
684,11,4
685,11,4
686,11,4
687,11,4
688,11,4
689,11,4
690,12,4
691,12,4
692,12,4
693,12,4
694,13,4
695,13,4
696,14,4
697,14,4
698,14,4
699,14,4
700,14,4
701,14,4
702,14,4
703,14,4
704,14,4
705,14,4
706,14,4
707,14,4
708,14,15
709,14,15
710,14,15
711,14,15
712,15,4
713,15,4
714,15,4
715,15,4
716,15,4
717,15,4
718,15,4
719,15,4
720,16,4
721,16,4
722,16,4
723,16,4
724,16,4
725,16,4
726,16,4
727,16,4
728,16,4
729,16,4
730,17,4
731,17,4
732,17,4
733,17,4
734,17,4
735,17,4
736,17,4
737,17,4
738,17,4
739,18,4
740,18,4
741,18,4
742,18,4
743,18,4
744,19,4
745,19,4
746,19,4
747,19,4
748,19,4
749,19,4
750,19,4
751,19,4
752,19,4
753,19,4
754,21,4
755,21,4
